State,Abbreviation, Population ,State Policy Prevention Mandates Score, Trump approval , Trump disapproval , People who don't care about Trump , Number of people who are Republican/lean ,Number of people who are Democrat/lean,Number of people who are Neither Democrat or Republican,Number of Conservatives,Number of Moderates,Number of Liberals,Number of people who have no political ideology,Economic Confidence Index,Number of people who are very religious,Number of people who Moderatly religious,Number of people who are Nonreligious,% Uninsured,Number of people who are uninsured,Number of people who are Insured,Number of People Who Exercise frequently,Number of people who don't exercise frequently,Number of people who eat produce frequently,Number of people who don't eat produce frequently,Number of people who feel recognize by their community ,Number of people that don't feel community recognition,Number of people who Feel active and productive,Number of people that aren't active and productive,Number of people who are Worried about money,Number of people who aren't worried about money
Pennsylvania,PA,"12,801,989",39.46,"5,376,835","6,785,054","640,099","5,248,815","5,888,915","1,664,259","4,352,676","4,736,736","3,072,477","640,099",3,"4,608,716","3,840,597","4,352,676",6.3,"806,525","11,995,464","6,567,420","6,234,569","7,373,946","5,428,043","2,509,190","10,292,799","8,654,145","4,147,844","4,237,458","8,564,531"
Rhode Island,RI,"1,059,361",33.02,"338,996","656,804","63,562","286,027","508,493","264,840","254,247","423,744","307,215","74,155",-1,"338,996","307,215","413,151",7,"74,155","985,206","526,502","532,859","601,717","457,644","184,329","875,032","686,466","372,895","400,438","658,923"
South Carolina,SC,"5,148,714",87.02,"2,471,383","2,368,408","308,923","2,419,896","1,905,024","823,794","2,110,973","1,802,050","875,281","360,410",9,"2,574,357","1,544,614","1,029,743",13.1,"674,482","4,474,232","2,682,480","2,466,234","2,893,577","2,255,137","1,019,445","4,129,269","3,418,746","1,729,968","1,740,265","3,408,449"
South Dakota,SD,"884,659",89.15,"477,716","371,557","35,386","460,023","309,631","115,006","362,710","353,864","132,699","35,386",19,"327,324","265,398","291,937",9.9,"87,581","797,078","458,253","426,406","475,062","409,597","196,394","688,265","615,723","268,936","273,360","611,299"
Tennessee,TN,"6,829,174",80.62,"3,414,587","3,004,837","409,750","3,209,712","2,390,211","1,229,251","2,731,670","2,458,503","1,229,251","409,750",11,"3,346,295","2,048,752","1,502,418",11.8,"805,843","6,023,331","3,578,487","3,250,687","3,906,288","2,922,886","1,290,714","5,538,460","4,438,963","2,390,211","2,431,186","4,397,988"
Texas,TX,"28,995,881",88.37,"11,308,394","15,657,776","2,029,712","11,888,311","11,018,435","6,089,135","11,018,435","10,148,558","5,799,176","2,029,712",11,"12,468,229","9,278,682","7,248,970",20.5,"5,944,156","23,051,725","15,657,776","13,338,105","16,208,697","12,787,184","5,770,180","23,225,701","20,587,076","8,408,805","10,177,554","18,818,327"
Utah,UT,"3,205,958",79.5,"1,538,860","1,506,800","160,298","1,795,336","929,728","480,894","1,346,502","1,154,145","577,072","128,238",24,"1,731,217","512,953","961,787",9.7,"310,978","2,894,980","1,779,307","1,426,651","1,785,719","1,420,239","596,308","2,609,650","2,231,347","974,611","1,125,291","2,080,667"
Vermont,VT,"623,989",18.84,"162,237","430,552","31,199","187,197","324,474","112,318","155,997","199,676","243,356","24,960",-13,"99,838","162,237","368,154",6.1,"38,063","585,926","401,849","222,140","397,481","226,508","139,774","484,215","478,600","145,389","252,092","371,897"
Virginia,VA,"8,535,519",28.92,"3,158,142","4,865,246","512,131","3,243,497","3,840,984","1,451,038","2,816,721","3,243,497","1,963,169","512,131",8,"3,243,497","2,560,656","2,646,011",9.8,"836,481","7,699,038","4,617,716","3,917,803","4,967,672","3,567,847","1,638,820","6,896,699","5,872,437","2,663,082","2,876,470","5,659,049"
Washington,WA,"7,614,893",31.24,"2,589,064","4,568,936","456,894","2,589,064","3,731,298","1,294,532","2,208,319","2,741,361","2,284,468","380,745",8,"2,132,170","1,979,872","3,579,000",7.2,"548,272","7,066,621","4,233,881","3,381,012","4,561,321","3,053,572","1,454,445","6,160,448","5,109,593","2,505,300","2,520,530","5,094,363"
West Virginia,WV,"1,792,147",76.47,"1,093,210","627,251","71,686","788,545","716,859","286,744","681,016","681,016","340,508","89,607",1,"681,016","555,566","555,566",6.1,"109,321","1,682,826","913,995","878,152","1,062,743","729,404","342,300","1,449,847","1,096,794","695,353","716,859","1,075,288"
Wisconsin,WI,"5,822,434",78.92,"2,387,198","3,202,339","232,897","2,387,198","2,503,647","931,589","2,037,852","2,154,301","1,339,160","291,122",8,"2,037,852","1,746,730","2,037,852",6.2,"360,991","5,461,443","3,155,759","2,666,675","3,307,143","2,515,291","1,216,889","4,605,545","3,965,078","1,857,356","1,869,001","3,953,433"
Wyoming,WY,"578,759",90.16,"329,893","208,353","40,513","324,105","156,265","98,389","266,229","202,566","75,239","34,726",25,"208,353","150,477","219,928",12.9,"74,660","504,099","344,362","234,397","302,112","276,647","139,481","439,278","410,919","167,840","184,624","394,135"
