,submission_date,state,tot_cases,new_case,tot_death,new_death,created_at
25890,02/07/2021,AK,53769,212,309,0,02/07/2021 12:00:00 AM
25891,04/10/2020,WV,574,51,5,0,04/09/2020 04:22:39 PM
25892,12/01/2020,FL,991910,8540,18679,82,12/02/2020 03:48:48 PM
25893,05/03/2020,WV,1195,11,50,0,05/04/2020 10:49:24 PM
25894,05/29/2021,OK,453094,139,7298,1,05/30/2021 01:32:12 PM
25895,05/17/2021,HI,34247,67,489,0,05/18/2021 02:26:44 PM
25896,02/21/2021,FL,1834708,4935,29906,93,02/22/2021 02:53:38 PM
25897,01/13/2021,KS,252041,4539,3355,100,01/14/2021 03:12:46 PM
25898,05/05/2020,PR,1924,81,99,2,05/06/2020 04:23:08 PM
25899,04/24/2021,TX,2862938,2449,49694,39,04/26/2021 12:00:00 AM
25900,03/09/2020,PR,0,0,0,0,03/26/2020 04:22:39 PM
25901,02/05/2020,AK,0,0,0,0,03/26/2020 04:22:39 PM
25902,03/15/2021,OK,438347,218,7053,5,03/16/2021 12:00:00 AM
25903,09/01/2020,FL,624116,7487,11374,187,09/02/2020 01:49:48 PM
25904,04/30/2021,CO,510966,1772,6295,11,05/01/2021 01:43:22 PM
25905,03/07/2021,PW,0,0,0,0,03/08/2021 02:47:36 PM
25906,05/10/2021,AK,66350,78,343,0,05/11/2021 01:53:24 PM
25907,02/03/2020,UT,0,0,0,0,03/26/2020 04:22:39 PM
25908,08/05/2020,MA,111371,338,8691,14,08/07/2020 12:00:00 AM
25909,05/27/2020,AR,6277,97,120,1,05/28/2020 03:12:25 PM
25910,02/24/2021,KS,292837,1122,4724,81,02/25/2021 02:54:32 PM
25911,12/17/2020,OK,275979,3804,3845,62,12/18/2020 12:00:00 AM
25912,11/18/2020,MP,103,0,2,0,11/19/2020 03:01:36 PM
25913,05/29/2021,WV,161429,142,2792,0,05/30/2021 01:32:12 PM
25914,03/25/2021,GA,1051361,1964,18751,91,03/26/2021 02:14:54 PM
25915,09/13/2020,OK,75428,617,1179,9,09/14/2020 12:00:00 AM
25916,04/21/2021,WV,149888,426,2800,11,04/22/2021 01:56:30 PM
25917,02/01/2020,KS,0,0,0,0,03/26/2020 04:22:39 PM
25918,01/31/2020,AS,0,0,0,0,03/26/2020 04:22:39 PM
25919,05/05/2021,UT,398979,480,2219,2,05/06/2021 02:14:04 PM
25920,07/13/2020,HI,1239,22,22,3,07/14/2020 11:13:07 AM
25921,11/22/2020,NYC,304110,2277,23927,9,11/20/2020 12:00:00 AM
25922,07/28/2020,KS,26172,0,335,0,07/29/2020 02:34:46 PM
25923,08/12/2020,FL,545040,8059,8765,212,08/13/2020 02:12:28 PM
25924,07/12/2020,KS,18611,0,284,0,07/13/2020 03:19:34 PM
25925,04/24/2021,OK,447848,229,7246,2,04/25/2021 12:00:00 AM
25926,12/13/2020,KS,185294,0,2072,0,12/14/2020 02:36:45 PM
25927,04/06/2020,MP,8,0,0,0,04/05/2020 04:22:39 PM
25928,06/06/2021,AK,67680,16,362,0,06/07/2021 02:36:26 PM
25929,09/16/2020,FL,663234,2288,12939,152,09/17/2020 01:45:45 PM
25930,05/31/2020,NYC,206857,655,22131,51,05/29/2020 12:00:00 AM
25931,04/08/2021,PW,0,0,0,0,04/09/2021 02:11:49 PM
25932,03/24/2021,PR,104966,78,2103,3,03/25/2021 02:25:23 PM
25933,05/08/2020,HI,619,2,17,0,05/09/2020 05:26:08 PM
25934,09/25/2020,CO,67926,709,2037,4,09/26/2020 01:46:07 PM
25935,06/24/2021,PW,2,0,0,0,06/25/2021 03:01:46 PM
25936,04/10/2021,PR,114197,997,2154,2,04/11/2021 01:50:11 PM
25937,07/30/2020,AR,41759,791,442,8,07/31/2020 02:35:06 PM
25938,03/09/2020,KS,1,0,0,0,03/26/2020 04:22:39 PM
25939,12/10/2020,MP,113,0,2,0,12/11/2020 03:06:51 PM
25940,09/04/2020,CO,58655,368,1966,11,09/05/2020 02:09:45 PM
25941,03/03/2020,OK,43,4,0,0,03/04/2020 12:00:00 AM
